<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USDCB;D;19/07/11;000000;28.1775000
USDCB;D;20/07/11;000000;28.1505000
USDCB;D;21/07/11;000000;28.0466000
USDCB;D;22/07/11;000000;27.9080000
USDCB;D;23/07/11;000000;27.7169000
USDCB;D;26/07/11;000000;27.7413000
USDCB;D;27/07/11;000000;27.5460000
USDCB;D;28/07/11;000000;27.4439000
USDCB;D;29/07/11;000000;27.5907000
USDCB;D;30/07/11;000000;27.6796000
USDCB;D;02/08/11;000000;27.5204000
USDCB;D;03/08/11;000000;27.8154000
USDCB;D;04/08/11;000000;27.8996000
USDCB;D;05/08/11;000000;27.8432000
USDCB;D;06/08/11;000000;28.3382000
USDCB;D;09/08/11;000000;28.5210000
USDCB;D;10/08/11;000000;29.4166000
USDCB;D;11/08/11;000000;29.3065000
USDCB;D;12/08/11;000000;29.4170000
USDCB;D;13/08/11;000000;29.4452000
USDCB;D;16/08/11;000000;28.8576000
USDCB;D;17/08/11;000000;28.7032000
USDCB;D;18/08/11;000000;28.7207000
USDCB;D;19/08/11;000000;28.9115000
USDCB;D;20/08/11;000000;29.2709000
USDCB;D;23/08/11;000000;29.2555000
USDCB;D;24/08/11;000000;28.9547000
USDCB;D;25/08/11;000000;28.9037000
USDCB;D;26/08/11;000000;28.8825000
USDCB;D;27/08/11;000000;28.8717000
USDCB;D;30/08/11;000000;28.7108000
USDCB;D;31/08/11;000000;28.8569000
USDCB;D;01/09/11;000000;28.9278000
USDCB;D;02/09/11;000000;28.8911000
USDCB;D;03/09/11;000000;29.0604000
USDCB;D;06/09/11;000000;29.3436000
USDCB;D;07/09/11;000000;29.6107000
USDCB;D;08/09/11;000000;29.4905000
USDCB;D;09/09/11;000000;29.5015000
USDCB;D;10/09/11;000000;29.6904000
USDCB;D;13/09/11;000000;30.3034000
USDCB;D;14/09/11;000000;30.1872000
USDCB;D;15/09/11;000000;30.3643000
USDCB;D;16/09/11;000000;30.5042000
USDCB;D;17/09/11;000000;30.5328000
USDCB;D;20/09/11;000000;30.8680000
USDCB;D;21/09/11;000000;31.4960000
USDCB;D;22/09/11;000000;31.4122000
USDCB;D;23/09/11;000000;31.9106000
USDCB;D;24/09/11;000000;32.1083000
USDCB;D;27/09/11;000000;32.4619000
USDCB;D;28/09/11;000000;32.2201000
USDCB;D;29/09/11;000000;31.8180000
USDCB;D;30/09/11;000000;31.8751000
USDCB;D;01/10/11;000000;32.1100000
USDCB;D;04/10/11;000000;32.5890000
USDCB;D;05/10/11;000000;32.6799000
