<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
ROSN;D;05/10/12;000000;212.0600000
ROSN;D;08/10/12;000000;211.7000000
ROSN;D;09/10/12;000000;212.3300000
ROSN;D;10/10/12;000000;210.4800000
ROSN;D;11/10/12;000000;210.8000000
ROSN;D;12/10/12;000000;208.3900000
ROSN;D;15/10/12;000000;208.1600000
ROSN;D;16/10/12;000000;210.0200000
ROSN;D;17/10/12;000000;213.3100000
ROSN;D;18/10/12;000000;219.3000000
ROSN;D;19/10/12;000000;214.0700000
ROSN;D;22/10/12;000000;219.6000000
ROSN;D;23/10/12;000000;225.8500000
ROSN;D;24/10/12;000000;234.0600000
ROSN;D;25/10/12;000000;231.5600000
ROSN;D;26/10/12;000000;231.3200000
ROSN;D;29/10/12;000000;230.3200000
ROSN;D;30/10/12;000000;232.0900000
ROSN;D;31/10/12;000000;232.7000000
ROSN;D;01/11/12;000000;246.4700000
ROSN;D;02/11/12;000000;249.2900000
ROSN;D;06/11/12;000000;246.5200000
ROSN;D;07/11/12;000000;245.0100000
ROSN;D;08/11/12;000000;240.7800000
ROSN;D;09/11/12;000000;241.0500000
ROSN;D;12/11/12;000000;244.3500000
ROSN;D;13/11/12;000000;242.8500000
ROSN;D;14/11/12;000000;246.6300000
ROSN;D;15/11/12;000000;247.0200000
ROSN;D;16/11/12;000000;248.2000000
ROSN;D;19/11/12;000000;251.5000000
ROSN;D;20/11/12;000000;250.3000000
ROSN;D;21/11/12;000000;249.2700000
ROSN;D;22/11/12;000000;243.0300000
ROSN;D;23/11/12;000000;241.3000000
ROSN;D;26/11/12;000000;239.9900000
ROSN;D;27/11/12;000000;239.6600000
ROSN;D;28/11/12;000000;239.8200000
ROSN;D;29/11/12;000000;244.0100000
ROSN;D;30/11/12;000000;243.8800000
ROSN;D;03/12/12;000000;243.8600000
ROSN;D;04/12/12;000000;241.2300000
ROSN;D;05/12/12;000000;248.1000000
ROSN;D;06/12/12;000000;248.5100000
ROSN;D;07/12/12;000000;250.9800000
ROSN;D;10/12/12;000000;250.4300000
ROSN;D;11/12/12;000000;248.3500000
ROSN;D;12/12/12;000000;251.6700000
ROSN;D;13/12/12;000000;253.8700000
ROSN;D;14/12/12;000000;258.8800000
ROSN;D;17/12/12;000000;261.3900000
ROSN;D;18/12/12;000000;263.2000000
ROSN;D;19/12/12;000000;262.2900000
ROSN;D;20/12/12;000000;261.9900000
ROSN;D;21/12/12;000000;262.3100000
ROSN;D;24/12/12;000000;265.2500000
ROSN;D;25/12/12;000000;265.3500000
ROSN;D;26/12/12;000000;268.7600000
ROSN;D;27/12/12;000000;268.7900000
ROSN;D;28/12/12;000000;270.0100000
ROSN;D;08/01/13;000000;268.9800000
ROSN;D;09/01/13;000000;268.9900000
ROSN;D;10/01/13;000000;266.6500000
ROSN;D;11/01/13;000000;265.2800000
ROSN;D;14/01/13;000000;267.0000000
ROSN;D;15/01/13;000000;264.1000000
ROSN;D;16/01/13;000000;261.5600000
ROSN;D;17/01/13;000000;258.7500000
ROSN;D;18/01/13;000000;262.4400000
ROSN;D;21/01/13;000000;262.6700000
ROSN;D;22/01/13;000000;264.9100000
ROSN;D;23/01/13;000000;265.2100000
ROSN;D;24/01/13;000000;268.4900000
ROSN;D;25/01/13;000000;272.6200000
ROSN;D;28/01/13;000000;275.4300000
ROSN;D;29/01/13;000000;270.8900000
ROSN;D;30/01/13;000000;267.2900000
ROSN;D;31/01/13;000000;267.1500000
ROSN;D;01/02/13;000000;262.0100000
ROSN;D;04/02/13;000000;258.0900000
ROSN;D;05/02/13;000000;258.4900000
ROSN;D;06/02/13;000000;256.5100000
ROSN;D;07/02/13;000000;255.8200000
ROSN;D;08/02/13;000000;255.6100000
ROSN;D;11/02/13;000000;257.0500000
ROSN;D;12/02/13;000000;253.8200000
ROSN;D;13/02/13;000000;263.8900000
