<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
HYDR;D;23/12/09;000000;1.1700000
HYDR;D;24/12/09;000000;1.1630000
HYDR;D;25/12/09;000000;1.1550000
HYDR;D;28/12/09;000000;1.1680000
HYDR;D;29/12/09;000000;1.1630000
HYDR;D;30/12/09;000000;1.1420000
HYDR;D;31/12/09;000000;1.1350000
HYDR;D;11/01/10;000000;1.1880000
HYDR;D;12/01/10;000000;1.1870000
HYDR;D;13/01/10;000000;1.2360000
HYDR;D;14/01/10;000000;1.2670000
HYDR;D;15/01/10;000000;1.2570000
HYDR;D;18/01/10;000000;1.2750000
HYDR;D;19/01/10;000000;1.2940000
HYDR;D;20/01/10;000000;1.2900000
HYDR;D;21/01/10;000000;1.2630000
HYDR;D;22/01/10;000000;1.2320000
HYDR;D;25/01/10;000000;1.2200000
HYDR;D;26/01/10;000000;1.2120000
HYDR;D;27/01/10;000000;1.2750000
HYDR;D;28/01/10;000000;1.2830000
HYDR;D;29/01/10;000000;1.3000000
HYDR;D;01/02/10;000000;1.2950000
HYDR;D;02/02/10;000000;1.3050000
HYDR;D;03/02/10;000000;1.2950000
HYDR;D;04/02/10;000000;1.2790000
HYDR;D;05/02/10;000000;1.2320000
HYDR;D;08/02/10;000000;1.2290000
HYDR;D;09/02/10;000000;1.2230000
HYDR;D;10/02/10;000000;1.2100000
HYDR;D;11/02/10;000000;1.1990000
HYDR;D;12/02/10;000000;1.1820000
HYDR;D;15/02/10;000000;1.1890000
HYDR;D;16/02/10;000000;1.2130000
HYDR;D;17/02/10;000000;1.2300000
HYDR;D;18/02/10;000000;1.2660000
HYDR;D;19/02/10;000000;1.2840000
HYDR;D;24/02/10;000000;1.3010000
HYDR;D;25/02/10;000000;1.2540000
HYDR;D;26/02/10;000000;1.2820000
HYDR;D;27/02/10;000000;1.2800000
HYDR;D;01/03/10;000000;1.2890000
HYDR;D;02/03/10;000000;1.2860000
HYDR;D;03/03/10;000000;1.3130000
HYDR;D;04/03/10;000000;1.3180000
HYDR;D;05/03/10;000000;1.3300000
HYDR;D;09/03/10;000000;1.3490000
HYDR;D;10/03/10;000000;1.3720000
HYDR;D;11/03/10;000000;1.3700000
HYDR;D;12/03/10;000000;1.4350000
